,credit_score,credit_score,credit_score,credit_score,credit_score,credit_score,cltv,cltv,cltv,cltv,cltv,cltv,dti,dti,dti,dti,dti,dti
,mean,median,count,std,min,max,mean,median,count,std,min,max,mean,median,count,std,min,max
orig_year,,,,,,,,,,,,,,,,,,
1999,715.9941143271789,724.0,49612,52.511268474800985,448.0,827.0,71.20907254435267,75.0,49997,17.54664019293845,6.0,106.0,31.66936139181165,31.0,47995,11.280225652359624,1.0,65.0
2000,715.7720458464347,724.0,49295,55.71039272280379,300.0,837.0,73.01720172017201,79.0,49995,18.098316220477884,6.0,104.0,33.40140412641232,34.0,48856,11.099758903057634,1.0,65.0
2001,719.8808575680786,729.0,49722,57.904945970523954,300.0,839.0,70.91319826396528,75.0,49999,16.944679120459316,6.0,160.0,31.970949606460184,32.0,48915,11.286688205559845,1.0,65.0
2002,724.0436781609195,734.0,49590,56.56195632371715,300.0,838.0,69.04330519662359,73.0,49994,17.589640708366325,6.0,181.0,31.991352762425304,32.0,49033,11.994728758063248,1.0,65.0
2003,731.6858692172243,741.0,49976,50.41439670286916,300.0,837.0,67.18738623407278,70.0,49993,18.15172082504068,6.0,145.0,30.490900578128816,30.0,49124,12.530644749803702,1.0,65.0
2004,722.8451944828139,730.0,49953,53.88197188296808,300.0,839.0,70.59048361934478,75.0,49998,18.0690562146911,6.0,159.0,33.50016301911399,34.0,49074,12.4700023147646,1.0,65.0
2005,724.9713164795132,732.0,49959,58.59656633543279,300.0,836.0,70.47109884395375,75.0,49998,18.51639182353195,6.0,121.0,35.204052158124945,35.0,48468,12.374320774894437,1.0,65.0
2006,723.5627777555351,729.0,49954,58.11826891580664,300.0,844.0,72.50803144566022,78.0,49991,19.04293614942111,6.0,160.0,36.51550142036746,37.0,48931,12.163882801236639,1.0,65.0
2007,725.2446059004843,732.0,49962,57.721233452196465,300.0,844.0,73.89211568462738,80.0,49998,19.159324263199697,6.0,120.0,36.62132744087077,37.0,48876,12.426472466868269,1.0,65.0
2008,741.914500150105,753.0,49965,50.92420222684891,500.0,850.0,71.12260245204904,76.0,49999,17.540079678130915,6.0,113.0,36.158206395230124,36.0,48974,12.680222020261242,1.0,65.0
2009,760.339966799336,771.0,49999,41.999641232771026,484.0,841.0,68.46769870794832,73.0,49998,18.248197896555624,6.0,193.0,31.716197404463603,31.0,44538,11.543880203596249,1.0,65.0
2010,759.9632177930675,772.0,49997,45.226242605284824,441.0,842.0,70.51251025020501,75.0,49999,20.001544964547186,7.0,382.0,31.76141830324297,32.0,35338,10.52335874411226,1.0,63.0
2011,759.95436,773.0,50000,45.53960335905308,440.0,844.0,71.75377015080603,75.0,49998,21.685567761012756,3.0,483.0,31.732160454466406,32.0,34502,10.108756009149317,1.0,64.0
2012,759.44558,773.0,50000,46.87295744825996,454.0,840.0,79.11850711042662,78.0,49997,30.658616618648274,3.0,684.0,30.897914110429447,31.0,32600,9.997969452667027,1.0,57.0
2013,749.6915338306766,762.0,49999,50.6465200514815,445.0,839.0,77.5222,79.0,50000,25.41670685473921,4.0,582.0,32.28958894878706,33.0,35616,9.68963138240515,1.0,50.0
2014,747.0873026987017,757.0,49987,49.325972009120605,454.0,832.0,76.47579903196127,80.0,49998,19.003615250265675,3.0,493.0,33.70555854864023,35.0,42691,9.118322276975578,2.0,50.0
2015,749.75894,760.0,50000,47.508043638531255,462.0,834.0,74.40242804856098,79.0,49999,18.020716543847165,5.0,854.0,33.838755980861244,35.0,45980,9.391886988255246,1.0,50.0
2016,748.78884,757.0,50000,46.707033328971015,456.0,832.0,73.82992,78.0,50000,17.379710983807463,5.0,336.0,34.08971604314122,35.0,47472,9.368945833648317,1.0,50.0
2017,744.7308569371099,752.0,49992,47.370712373703185,484.0,834.0,75.44222,80.0,50000,16.98417471399227,6.0,194.0,35.14464456156368,36.0,48194,9.293732882610243,1.0,50.0
2018,746.2189613091666,753.0,49986,45.90213536621985,427.0,832.0,76.17062341246825,80.0,49999,17.235565288721947,7.0,255.0,35.819144421767334,37.0,49487,9.411505330094755,1.0,50.0
2019,749.538175270108,757.0,49980,44.04013859459114,562.0,832.0,75.83921678433569,80.0,49999,16.86075029975275,5.0,105.0,35.297144229422244,37.0,49969,9.396304911989072,1.0,50.0
2020,758.1350789110476,767.0,49993,41.898711395040834,601.0,832.0,70.87396,74.0,50000,16.904481924879583,5.0,105.0,33.349666993339866,34.0,49999,9.773904880229475,1.0,51.0
2021,750.584170100412,760.0,49994,45.18123675184169,600.0,832.0,69.53256,73.0,50000,17.71872396393086,5.0,105.0,34.158842237913305,35.0,49993,9.665076247376117,1.0,64.0
2022,743.8695686964871,752.0,49988,46.31931105044444,596.0,832.0,74.15914,80.0,50000,18.56095322552417,4.0,105.0,36.881630530442436,39.0,49996,9.181284190543375,1.0,65.0
2023,749.2911589940579,757.0,49983,44.32656335857877,300.0,832.0,75.92952,80.0,50000,19.352277457251734,5.0,105.0,38.13456538261531,40.0,49998,9.277933912546311,2.0,51.0
2024,751.8457824254389,762.0,37486,45.38625288122979,592.0,830.0,75.25093333333334,80.0,37500,19.70530149730632,3.0,105.0,37.899570655217474,40.0,37499,9.266305285876532,1.0,54.0
